"competition","mf","level","match_id","date","home_team","visiting_team","match_n_sets","home_team_set_score","visiting_team_set_score","set_number","home_team_score","visiting_team_score","margin"
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764630",2019-10-05,"Miami (OH)","Akron",3,0,3,1,22,25,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764630",2019-10-05,"Miami (OH)","Akron",3,0,3,2,21,25,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764630",2019-10-05,"Miami (OH)","Akron",3,0,3,3,18,25,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764626",2019-10-05,"Brown","Harvard",3,0,3,1,17,25,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764626",2019-10-05,"Brown","Harvard",3,0,3,2,20,25,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764626",2019-10-05,"Brown","Harvard",3,0,3,3,23,25,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764655",2019-10-05,"Central Conn. State","St. Francis Brooklyn",3,3,0,1,25,22,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764655",2019-10-05,"Central Conn. State","St. Francis Brooklyn",3,3,0,2,25,12,13
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764655",2019-10-05,"Central Conn. State","St. Francis Brooklyn",3,3,0,3,25,16,9
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764646",2019-10-05,"Penn","Columbia",4,1,3,1,20,25,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764646",2019-10-05,"Penn","Columbia",4,1,3,2,21,25,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764646",2019-10-05,"Penn","Columbia",4,1,3,3,25,22,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764646",2019-10-05,"Penn","Columbia",4,1,3,4,23,25,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764656",2019-10-05,"UNC Greensboro","Wofford",4,1,3,1,24,26,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764656",2019-10-05,"UNC Greensboro","Wofford",4,1,3,2,26,28,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764656",2019-10-05,"UNC Greensboro","Wofford",4,1,3,3,28,26,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764656",2019-10-05,"UNC Greensboro","Wofford",4,1,3,4,14,25,11
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764633",2019-10-05,"Southern Illinois","UNI",3,0,3,1,16,25,9
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764633",2019-10-05,"Southern Illinois","UNI",3,0,3,2,19,25,6
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764633",2019-10-05,"Southern Illinois","UNI",3,0,3,3,15,25,10
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764644",2019-10-05,"Evansville","Loyola Chicago",3,0,3,1,15,25,10
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764644",2019-10-05,"Evansville","Loyola Chicago",3,0,3,2,14,25,11
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764644",2019-10-05,"Evansville","Loyola Chicago",3,0,3,3,16,25,9
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764643",2019-10-05,"Indiana State","Valparaiso",3,0,3,1,21,25,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764643",2019-10-05,"Indiana State","Valparaiso",3,0,3,2,20,25,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764643",2019-10-05,"Indiana State","Valparaiso",3,0,3,3,21,25,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764638",2019-10-05,"UC Santa Barbara","UC Riverside",3,3,0,1,25,8,17
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764638",2019-10-05,"UC Santa Barbara","UC Riverside",3,3,0,2,25,5,20
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764638",2019-10-05,"UC Santa Barbara","UC Riverside",3,3,0,3,25,15,10
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764624",2019-10-05,"Fairleigh Dickinson","LIU",3,0,3,1,20,25,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764624",2019-10-05,"Fairleigh Dickinson","LIU",3,0,3,2,16,25,9
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764624",2019-10-05,"Fairleigh Dickinson","LIU",3,0,3,3,17,25,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764635",2019-10-05,"St. John's (NY)","Providence",3,3,0,1,25,11,14
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764635",2019-10-05,"St. John's (NY)","Providence",3,3,0,2,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764635",2019-10-05,"St. John's (NY)","Providence",3,3,0,3,25,16,9
